,adjclose,close,date,high,low,open,volume
93,15.0,15.0,2019-01-16,16.0,11.25,11.25,400
94,11.010000228881836,11.010000228881836,2019-01-15,15.550000190734863,11.010000228881836,11.010000228881836,900
95,23.989999771118164,23.989999771118164,2019-01-14,23.989999771118164,23.989999771118164,23.989999771118164,300
96,23.989999771118164,23.989999771118164,2019-01-11,26.975000381469727,23.989999771118164,26.975000381469727,300
97,16.0,16.0,2019-01-10,16.0,16.0,16.0,100
98,16.0,16.0,2019-01-09,16.0,16.0,16.0,100
99,16.0,16.0,2019-01-08,16.0,16.0,16.0,0
100,16.0,16.0,2019-01-07,16.0,16.0,16.0,0
101,16.0,16.0,2019-01-04,16.0,16.0,16.0,100
102,16.0,16.0,2019-01-03,16.0,16.0,16.0,200
103,16.0,16.0,2019-01-02,16.0,16.0,16.0,400
104,16.010000228881836,16.010000228881836,2018-12-31,16.010000228881836,16.010000228881836,16.010000228881836,100
105,16.010000228881836,16.010000228881836,2018-12-28,16.010000228881836,16.010000228881836,16.010000228881836,100
106,16.010000228881836,16.010000228881836,2018-12-27,16.010000228881836,16.010000228881836,16.010000228881836,200
107,16.010000228881836,16.010000228881836,2018-12-26,16.010000228881836,16.010000228881836,16.010000228881836,0
108,16.010000228881836,16.010000228881836,2018-12-24,16.010000228881836,16.010000228881836,16.010000228881836,100
109,16.010000228881836,16.010000228881836,2018-12-21,16.010000228881836,16.010000228881836,16.010000228881836,100
110,21.0,21.0,2018-12-20,21.0,21.0,21.0,100
111,21.0,21.0,2018-12-19,21.0,21.0,21.0,0
112,21.0,21.0,2018-12-18,21.0,21.0,21.0,100
113,21.0,21.0,2018-12-17,21.0,21.0,21.0,100
114,21.0,21.0,2018-12-14,21.0,21.0,21.0,100
115,21.0,21.0,2018-12-13,21.0,21.0,21.0,100
116,21.0,21.0,2018-12-12,21.0,21.0,21.0,0
117,21.0,21.0,2018-12-11,21.0,21.0,21.0,0
118,21.0,21.0,2018-12-10,21.0,21.0,21.0,100
119,21.0,21.0,2018-12-07,21.0,21.0,21.0,200
120,21.0,21.0,2018-12-06,21.0,21.0,21.0,500
121,20.020000457763672,20.020000457763672,2018-12-04,20.020000457763672,20.020000457763672,20.020000457763672,300
122,28.84000015258789,28.84000015258789,2018-12-03,28.84000015258789,28.84000015258789,28.84000015258789,200
123,28.850000381469727,28.850000381469727,2018-11-30,28.850000381469727,28.850000381469727,28.850000381469727,100
124,28.850000381469727,28.850000381469727,2018-11-29,28.850000381469727,28.850000381469727,28.850000381469727,100
125,28.850000381469727,28.850000381469727,2018-11-28,28.850000381469727,28.850000381469727,28.850000381469727,100
126,28.850000381469727,28.850000381469727,2018-11-27,28.850000381469727,28.850000381469727,28.850000381469727,100
127,28.850000381469727,28.850000381469727,2018-11-26,28.850000381469727,28.850000381469727,28.850000381469727,300
128,28.850000381469727,28.850000381469727,2018-11-23,28.850000381469727,28.850000381469727,28.850000381469727,300
129,20.0,20.0,2018-11-21,20.0,20.0,20.0,100
130,20.0,20.0,2018-11-20,20.0,20.0,20.0,100
131,20.0,20.0,2018-11-19,20.0,20.0,20.0,400
132,28.399999618530273,28.399999618530273,2018-11-16,28.399999618530273,16.110000610351562,28.399999618530273,500
133,28.84000015258789,28.84000015258789,2018-11-15,28.84000015258789,28.84000015258789,28.84000015258789,400
134,29.0,29.0,2018-11-14,29.0,29.0,29.0,100
135,29.0,29.0,2018-11-13,29.0,29.0,29.0,100
136,29.0,29.0,2018-11-12,29.0,16.1200008392334,29.0,300
137,20.0,20.0,2018-11-09,20.0,20.0,20.0,100
138,20.0,20.0,2018-11-08,20.0,20.0,20.0,100
139,20.0,20.0,2018-11-07,21.0,16.0,20.5,800
140,20.0,20.0,2018-11-06,20.0,20.0,20.0,100
141,20.0,20.0,2018-11-05,22.5,20.0,20.0,900
142,22.0,22.0,2018-11-02,22.0,22.0,22.0,0
143,22.0,22.0,2018-11-01,24.0,22.0,24.0,600
144,28.0,28.0,2018-10-31,28.0,24.0,24.0,700
145,23.0,23.0,2018-10-30,23.0,21.0,21.0,1000
146,21.0,21.0,2018-10-29,31.479999542236328,21.0,27.0,1300
147,21.0,21.0,2018-10-26,21.0,21.0,21.0,200
