,adjclose,close,date,high,low,open,volume
698,,,2016-08-19,,,,
699,,,2016-08-18,,,,
700,,,2016-08-17,,,,
701,,,2016-08-16,,,,
702,,,2016-08-15,,,,
703,,,2016-08-12,,,,
704,,,2016-08-11,,,,
705,,,2016-08-10,,,,
706,,,2016-08-09,,,,
707,,,2016-08-08,,,,
708,,,2016-08-05,,,,
709,,,2016-08-04,,,,
710,,,2016-08-03,,,,
711,,,2016-08-02,,,,
712,,,2016-08-01,,,,
713,,,2016-07-29,,,,
714,,,2016-07-28,,,,
715,,,2016-07-27,,,,
716,,,2016-07-26,,,,
717,,,2016-07-25,,,,
718,,,2016-07-22,,,,
719,,,2016-07-21,,,,
720,,,2016-07-20,,,,
721,,,2016-07-19,,,,
722,,,2016-07-18,,,,
723,,,2016-07-15,,,,
724,,,2016-07-14,,,,
725,,,2016-07-13,,,,
726,,,2016-07-12,,,,
727,,,2016-07-11,,,,
728,,,2016-07-08,,,,
729,,,2016-07-07,,,,
730,,,2016-07-06,,,,
731,,,2016-07-05,,,,
732,,,2016-07-01,,,,
733,,,2016-06-30,,,,
734,,,2016-06-29,,,,
735,,,2016-06-28,,,,
736,,,2016-06-27,,,,
737,32.483001708984375,32.483001708984375,2016-06-24,33.59400177001953,31.663000106811523,31.722000122070312,100.0
738,33.20500183105469,33.20500183105469,2016-06-23,33.654998779296875,33.198001861572266,33.46699905395508,0.0
739,33.284000396728516,33.284000396728516,2016-06-22,33.68899917602539,32.2869987487793,32.38100051879883,0.0
740,32.845001220703125,32.845001220703125,2016-06-21,32.845001220703125,31.631999969482422,31.631999969482422,100.0
741,30.64699935913086,30.64699935913086,2016-06-20,30.64699935913086,30.64699935913086,30.64699935913086,0.0
742,30.371999740600586,30.371999740600586,2016-06-17,30.371999740600586,29.305999755859375,29.434999465942383,0.0
743,29.408000946044922,29.408000946044922,2016-06-16,29.408000946044922,28.59600067138672,28.981000900268555,0.0
744,29.305999755859375,29.305999755859375,2016-06-15,29.32699966430664,29.150999069213867,29.259000778198242,0.0
745,29.339000701904297,29.339000701904297,2016-06-14,29.339000701904297,28.742000579833984,28.77899932861328,0.0
746,29.159000396728516,29.159000396728516,2016-06-13,29.159000396728516,29.159000396728516,29.159000396728516,0.0
747,29.34000015258789,29.34000015258789,2016-06-10,29.5,29.195999145507812,29.5,0.0
748,29.40399932861328,29.40399932861328,2016-06-09,29.63599967956543,28.974000930786133,29.040000915527344,0.0
749,29.009000778198242,29.009000778198242,2016-06-08,29.010000228881836,28.854999542236328,29.010000228881836,0.0
750,29.089000701904297,29.089000701904297,2016-06-07,29.354999542236328,28.64699935913086,28.64699935913086,0.0
751,28.732999801635742,28.732999801635742,2016-06-06,28.732999801635742,27.48200035095215,27.533000946044922,0.0
752,27.479000091552734,27.479000091552734,2016-06-03,28.506999969482422,27.413999557495117,28.506999969482422,0.0
753,28.466999053955078,28.466999053955078,2016-06-02,28.466999053955078,27.84000015258789,27.84000015258789,0.0
754,27.31399917602539,27.31399917602539,2016-06-01,27.608999252319336,27.31399917602539,27.608999252319336,0.0
755,,,2016-05-31,,,,
756,,,2016-05-27,,,,
757,,,2016-05-26,,,,
758,,,2016-05-25,,,,
759,,,2016-05-24,,,,
760,,,2016-05-23,,,,
761,,,2016-05-20,,,,
762,,,2016-05-19,,,,
763,,,2016-05-18,,,,
764,,,2016-05-17,,,,
765,,,2016-05-16,,,,
766,25.608999252319336,25.608999252319336,2016-05-13,25.608999252319336,24.78499984741211,24.78499984741211,0.0
767,25.0,25.0,2016-05-12,25.483999252319336,24.759000778198242,25.483999252319336,0.0
768,,,2016-05-11,,,,
769,,,2016-05-10,,,,
770,,,2016-05-09,,,,
771,,,2016-05-06,,,,
772,,,2016-05-05,,,,
773,,,2016-05-04,,,,
774,,,2016-05-03,,,,
775,27.158000946044922,27.158000946044922,2016-05-02,28.18400001525879,27.158000946044922,28.079999923706055,0.0
776,28.482999801635742,28.482999801635742,2016-04-29,30.533000946044922,27.108999252319336,30.51300048828125,200.0
777,26.430999755859375,26.430999755859375,2016-04-28,26.933000564575195,26.430999755859375,26.868000030517578,0.0
